subject,age_months,gender,outcome_order,domain,task,outcome,familiarization,test_window
30,17.4,male,exp_first,physical,containment,expected,0.8161616161616159,0.5199999999999997
30,17.4,male,exp_first,physical,containment,unexpected,0.7191489361702119,0.23066666666666794
30,17.4,male,exp_first,physical,continuity,expected,1,0.9732620320855617
30,17.4,male,exp_first,physical,continuity,unexpected,1,0.6960000000000015
30,17.4,male,exp_first,physical,solidity,expected,0.9570661896243292,0.809078771695593
30,17.4,male,exp_first,physical,solidity,unexpected,0.9803149606299213,0.1333333333333319
30,17.4,male,exp_first,physical,support,expected,0.8953974895397488,0.3173333333333328
30,17.4,male,exp_first,physical,support,unexpected,0.8810020876826721,0.24533333333333324
30,17.4,male,exp_first,social,drink,expected,0.7952069716775612,0.1989319092122827
30,17.4,male,exp_first,social,drink,unexpected,0.5617283950617263,0.19168900804289435
30,17.4,male,exp_first,social,fairness,expected,1,0.5560471976401212
30,17.4,male,exp_first,social,fairness,unexpected,1,0.28023598820059187
30,17.4,male,exp_first,social,reach,expected,0.7912687585266046,0.82085561497326
30,17.4,male,exp_first,social,reach,unexpected,0.7559999999999998,1
31,16.2,male,unexp_first,physical,continuity,expected,1,0.7687165775401079
31,16.2,male,unexp_first,physical,continuity,unexpected,1,0.313333333333334
31,16.2,male,unexp_first,physical,solidity,unexpected,1,0.9026666666666661
31,16.2,male,unexp_first,physical,support,expected,1,0.7453333333333324
31,16.2,male,unexp_first,physical,support,unexpected,1,0.8386666666666657
31,16.2,male,unexp_first,social,drink,unexpected,0.940329218106996,0.4691689008042896
31,16.2,male,unexp_first,social,fairness,expected,0.8575342465753427,0.5958702064896733
31,16.2,male,unexp_first,social,fairness,unexpected,0.932668329177057,0.7359882005899696
31,16.2,male,unexp_first,social,reach,expected,0.9658935879945428,0.8208556149732621
31,16.2,male,unexp_first,social,reach,unexpected,1,0.753681392235611
31,16.2,male,unexp_first,social,snack,unexpected,0.9797160243407707,0.837116154873164
32,22,male,unexp_first,physical,containment,expected,0.878787878787879,0.836000000000001
32,22,male,unexp_first,physical,containment,unexpected,0.9851063829787234,0.6960000000000006
32,22,male,unexp_first,physical,continuity,expected,1,0.47860962566844745
32,22,male,unexp_first,physical,continuity,unexpected,0.9666666666666669,0.8573333333333332
32,22,male,unexp_first,physical,solidity,expected,1,0.3925233644859811
32,22,male,unexp_first,physical,solidity,unexpected,1,0.4506666666666694
32,22,male,unexp_first,physical,support,expected,1,0.461333333333336
32,22,male,unexp_first,physical,support,unexpected,1,0.5026666666666646
32,22,male,unexp_first,social,drink,expected,1,0.7810413885180241
32,22,male,unexp_first,social,drink,unexpected,0.8703703703703701,0.7533512064343156
32,22,male,unexp_first,social,fairness,expected,1,0.7404129793510307
32,22,male,unexp_first,social,fairness,unexpected,0.9875311720698254,0.7772861356932141
32,22,male,unexp_first,social,reach,expected,1,0.6898395721925134
32,22,male,unexp_first,social,reach,unexpected,1,0.6706827309236926
32,22,male,unexp_first,social,snack,expected,1,0.7493333333333339
32,22,male,unexp_first,social,snack,unexpected,1,0.6221628838451291
33,19.4,female,exp_first,physical,containment,expected,1,0.6293333333333319
33,19.4,female,exp_first,physical,containment,unexpected,1,0.462666666666668
33,19.4,female,exp_first,physical,support,expected,0.6108786610878656,0.8760000000000006
33,19.4,female,exp_first,physical,support,unexpected,0.41544885177453106,0.18133333333333382
33,19.4,female,exp_first,social,drink,expected,0.7930283224400875,0.31241655540720903
33,19.4,female,exp_first,social,drink,unexpected,0.609053497942389,0.6353887399463808
33,19.4,female,exp_first,social,fairness,expected,0.6602739726027403,0.8289085545722711
33,19.4,female,exp_first,social,fairness,unexpected,0.6957605985037418,0.4277286135693218
33,19.4,female,exp_first,social,reach,expected,0.8676671214188268,0.14705882352941302
33,19.4,female,exp_first,social,reach,unexpected,0.574666666666667,0.49665327978580975
33,19.4,female,exp_first,social,snack,expected,0,0.14266666666666855
33,19.4,female,exp_first,social,snack,unexpected,0.3691683569979704,0
34,23.5,male,exp_first,physical,containment,expected,1,0.9706666666666669
34,23.5,male,exp_first,physical,containment,unexpected,1,0.9466666666666671
34,23.5,male,exp_first,physical,continuity,expected,1,0.969251336898396
34,23.5,male,exp_first,physical,continuity,unexpected,0.9306666666666663,0.38933333333333353
34,23.5,male,exp_first,physical,solidity,expected,1,0.9893190921228305
34,23.5,male,exp_first,physical,solidity,unexpected,1,0.6786666666666654
34,23.5,male,exp_first,physical,support,expected,1,0.4880000000000004
34,23.5,male,exp_first,physical,support,unexpected,0.6597077244258885,0.0773333333333333
34,23.5,male,exp_first,social,drink,expected,1,1
34,23.5,male,exp_first,social,drink,unexpected,1,0.9517426273458448
34,23.5,male,exp_first,social,fairness,expected,1,1
34,23.5,male,exp_first,social,fairness,unexpected,1,0.6371681415929186
34,23.5,male,exp_first,social,reach,expected,1,0.6417112299465247
34,23.5,male,exp_first,social,reach,unexpected,1,0.5408299866131194
34,23.5,male,exp_first,social,snack,expected,1,0.22533333333333122
34,23.5,male,exp_first,social,snack,unexpected,0.46044624746450286,0.27236315086782487
35,21.4,male,unexp_first,physical,containment,unexpected,0.761702127659574,0.25333333333333424
35,21.4,male,unexp_first,physical,continuity,expected,0.38000000000000245,0.044117647058823845
35,21.4,male,unexp_first,physical,solidity,expected,1,0.4726301735647523
35,21.4,male,unexp_first,physical,solidity,unexpected,0.9763779527559056,0.7320000000000004
35,21.4,male,unexp_first,physical,support,expected,1,0.32133333333333525
35,21.4,male,unexp_first,physical,support,unexpected,1,0.6586666666666668
35,21.4,male,unexp_first,social,drink,expected,1,0.5193591455273688
35,21.4,male,unexp_first,social,drink,unexpected,1,0.7949061662198375
35,21.4,male,unexp_first,social,reach,expected,1,0.36497326203208685
35,21.4,male,unexp_first,social,reach,unexpected,1,0.7362784471218219
35,21.4,male,unexp_first,social,snack,expected,0.9445628997867804,0.5706666666666663
35,21.4,male,unexp_first,social,snack,unexpected,1,0.9158878504672892
36,24.1,male,unexp_first,physical,containment,expected,0.9111111111111109,0.5733333333333329
36,24.1,male,unexp_first,physical,containment,unexpected,1,0.8639999999999995
36,24.1,male,unexp_first,physical,continuity,expected,0.9026666666666671,0.7633689839572181
36,24.1,male,unexp_first,physical,continuity,unexpected,0.9560000000000003,0.8813333333333336
36,24.1,male,unexp_first,physical,solidity,expected,1,0.21895861148197615
36,24.1,male,unexp_first,physical,solidity,unexpected,0.7440944881889756,0.7946666666666667
36,24.1,male,unexp_first,physical,support,expected,1,0.19333333333333313
36,24.1,male,unexp_first,physical,support,unexpected,1,0.30933333333333585
36,24.1,male,unexp_first,social,drink,expected,0.9869281045751634,0.5594125500667577
36,24.1,male,unexp_first,social,drink,unexpected,1,0.9048257372654173
36,24.1,male,unexp_first,social,fairness,expected,1,0.958702064896755
36,24.1,male,unexp_first,social,fairness,unexpected,1,0.8067846607669602
36,24.1,male,unexp_first,social,reach,expected,1,0.8074866310160428
36,24.1,male,unexp_first,social,reach,unexpected,1,0.7951807228915668
36,24.1,male,unexp_first,social,snack,expected,0.6012793176972285,0.28133333333333244
36,24.1,male,unexp_first,social,snack,unexpected,0.9249492900608521,0.9118825100133511
37,20,male,exp_first,physical,containment,expected,0.6222222222222226,0.35866666666666763
37,20,male,exp_first,physical,containment,unexpected,0.8234042553191498,0.14933333333333354
37,20,male,exp_first,physical,continuity,expected,1,0.2941176470588216
37,20,male,exp_first,physical,continuity,unexpected,0.8799999999999999,0.3373333333333332
37,20,male,exp_first,physical,solidity,expected,1,0.5607476635514026
37,20,male,exp_first,physical,solidity,unexpected,1,0.6626666666666667
37,20,male,exp_first,physical,support,expected,1,1
37,20,male,exp_first,social,drink,expected,1,1
37,20,male,exp_first,social,drink,unexpected,1,0.6608579088471834
37,20,male,exp_first,social,fairness,expected,1,0.7153392330383469
37,20,male,exp_first,social,fairness,unexpected,1,0.26106194690265405
37,20,male,exp_first,social,reach,expected,1,0.6270053475935844
37,20,male,exp_first,social,reach,unexpected,1,0.7483266398929048
37,20,male,exp_first,social,snack,expected,1,0.9093333333333335
37,20,male,exp_first,social,snack,unexpected,1,0.9279038718291055
38,18.8,female,exp_first,physical,containment,expected,0.9898989898989898,0.9773333333333334
38,18.8,female,exp_first,physical,containment,unexpected,0.9723404255319151,0.5173333333333288
38,18.8,female,exp_first,physical,continuity,expected,1,0.780748663101604
38,18.8,female,exp_first,physical,continuity,unexpected,1,0.8506666666666659
38,18.8,female,exp_first,physical,solidity,expected,0.9821109123434704,0.8224299065420567
38,18.8,female,exp_first,physical,solidity,unexpected,1,0.7906666666666666
38,18.8,female,exp_first,physical,support,expected,1,0.7453333333333324
