subject,age_months,gender,outcome_order,domain,task,outcome,familiarization,test_window
14,20.3,female,exp_first,social,fairness,expected,1,0.8421828908554573
14,20.3,female,exp_first,social,fairness,unexpected,1,0.8997050147492622
14,20.3,female,exp_first,social,reach,expected,1,0.6577540106951881
14,20.3,female,exp_first,social,reach,unexpected,0.984,0.36947791164658833
14,20.3,female,exp_first,social,snack,expected,0.9147121535181233,0.7426666666666679
14,20.3,female,exp_first,social,snack,unexpected,0.683569979716023,0.48197596795727526
15,18.6,female,unexp_first,physical,containment,expected,0.7636363636363626,0.3373333333333332
15,18.6,female,unexp_first,physical,containment,unexpected,0.4489361702127677,0.20666666666666705
15,18.6,female,unexp_first,physical,continuity,expected,0.5373333333333344,0.2045454545454552
15,18.6,female,unexp_first,physical,continuity,unexpected,0.9186666666666665,0.22533333333333122
15,18.6,female,unexp_first,physical,solidity,expected,0.3148479427549199,0.14953271028037418
15,18.6,female,unexp_first,physical,solidity,unexpected,1,0.4533333333333305
15,18.6,female,unexp_first,social,drink,expected,0.901960784313726,0.21361815754338936
15,18.6,female,unexp_first,social,drink,unexpected,1,0.3793565683646094
15,18.6,female,unexp_first,social,fairness,expected,0,0.47197640117993905
15,18.6,female,unexp_first,social,fairness,unexpected,1,0.6283185840707958
15,18.6,female,unexp_first,social,reach,expected,1,0.6296791443850277
15,18.6,female,unexp_first,social,reach,unexpected,0.9746666666666668,0.6372155287817932
17,23.5,female,exp_first,physical,containment,expected,1,1
17,23.5,female,exp_first,physical,containment,unexpected,0.7531914893617019,1
17,23.5,female,exp_first,physical,continuity,expected,0.6079999999999979,0.1483957219251341
17,23.5,female,exp_first,physical,continuity,unexpected,0,0
17,23.5,female,exp_first,physical,solidity,expected,1,1
17,23.5,female,exp_first,physical,solidity,unexpected,0.7992125984251955,0.7386666666666702
17,23.5,female,exp_first,physical,support,expected,1,0.7919999999999987
17,23.5,female,exp_first,physical,support,unexpected,1,0.9520000000000006
17,23.5,female,exp_first,social,drink,expected,1,0.919893190921228
17,23.5,female,exp_first,social,drink,unexpected,1,0.6219839142091149
17,23.5,female,exp_first,social,fairness,expected,1,0.9852507374631269
17,23.5,female,exp_first,social,fairness,unexpected,0.7281795511221938,0.19911504424778756
17,23.5,female,exp_first,social,reach,expected,0.930422919508867,0.36363636363636404
17,23.5,female,exp_first,social,reach,unexpected,1,0.7054886211512715
17,23.5,female,exp_first,social,snack,expected,1,0.9720000000000003
17,23.5,female,exp_first,social,snack,unexpected,0.8133874239350918,0.8558077436582131
18,22.9,male,exp_first,physical,containment,expected,1,0.5800000000000011
18,22.9,male,exp_first,physical,containment,unexpected,1,0.4933333333333328
18,22.9,male,exp_first,physical,continuity,expected,0.9506666666666665,0.7058823529411771
18,22.9,male,exp_first,physical,continuity,unexpected,0.9199999999999996,0.7186666666666679
18,22.9,male,exp_first,physical,solidity,expected,1,0.7129506008010701
18,22.9,male,exp_first,physical,solidity,unexpected,1,0.7493333333333335
18,22.9,male,exp_first,physical,support,expected,1,0.8546666666666667
18,22.9,male,exp_first,physical,support,unexpected,1,0.696000000000001
18,22.9,male,exp_first,social,drink,expected,1,1
18,22.9,male,exp_first,social,drink,unexpected,1,0.730563002680964
18,22.9,male,exp_first,social,fairness,expected,1,0.8466076696165202
18,22.9,male,exp_first,social,fairness,unexpected,0.945137157107232,0.5929203539822987
18,22.9,male,exp_first,social,reach,expected,1,0.8930481283422459
18,22.9,male,exp_first,social,reach,unexpected,1,0.6479250334672013
18,22.9,male,exp_first,social,snack,expected,0.9211087420042643,0.7986666666666662
18,22.9,male,exp_first,social,snack,unexpected,0.9249492900608522,0.7903871829105461
19,23,male,unexp_first,physical,containment,expected,0.33131313131313145,0.1480000000000002
19,23,male,unexp_first,physical,containment,unexpected,0.9489361702127658,0.4906666666666645
19,23,male,unexp_first,physical,continuity,expected,0.9426666666666662,0.2687165775401082
19,23,male,unexp_first,physical,continuity,unexpected,1,0.6173333333333323
19,23,male,unexp_first,physical,solidity,expected,1,0.5821094793057402
19,23,male,unexp_first,physical,solidity,unexpected,1,0.9853333333333334
19,23,male,unexp_first,physical,support,expected,1,0.6680000000000006
19,23,male,unexp_first,physical,support,unexpected,1,0.6240000000000001
19,23,male,unexp_first,social,drink,expected,1,0.6889185580774385
19,23,male,unexp_first,social,drink,unexpected,1,0.6970509383378044
19,23,male,unexp_first,social,fairness,expected,1,0.5943952802359889
19,23,male,unexp_first,social,fairness,unexpected,1,0.8156342182890866
19,23,male,unexp_first,social,reach,expected,1,0.7727272727272737
19,23,male,unexp_first,social,reach,unexpected,1,0.94243641231593
19,23,male,unexp_first,social,snack,expected,0.9573560767590616,0.8733333333333321
19,23,male,unexp_first,social,snack,unexpected,1,0.9599465954606138
20,17.6,female,unexp_first,physical,containment,expected,0.8949494949494959,0.9799999999999998
20,17.6,female,unexp_first,physical,containment,unexpected,0.6680851063829784,0.3533333333333316
20,17.6,female,unexp_first,physical,continuity,expected,0.7880000000000014,0.5187165775401082
20,17.6,female,unexp_first,physical,continuity,unexpected,0.7653333333333352,0.9306666666666662
20,17.6,female,unexp_first,physical,solidity,expected,0.427549194991053,0.7423230974632844
20,17.6,female,unexp_first,physical,solidity,unexpected,0.9350393700787398,0.4213333333333306
20,17.6,female,unexp_first,physical,support,expected,0.7970711297071127,0.4040000000000002
20,17.6,female,unexp_first,physical,support,unexpected,0.9457202505219203,0.7919999999999989
20,17.6,female,unexp_first,social,drink,expected,0.9694989106753811,0.6769025367156203
20,17.6,female,unexp_first,social,drink,unexpected,1,0.8565683646112582
20,17.6,female,unexp_first,social,fairness,expected,1,0.5442477876106198
20,17.6,female,unexp_first,social,fairness,unexpected,1,0.19174041297935188
20,17.6,female,unexp_first,social,reach,expected,0.36016371077762743,0.4478609625668464
20,17.6,female,unexp_first,social,reach,unexpected,0.5453333333333347,0.9116465863453808
20,17.6,female,unexp_first,social,snack,expected,0.9339019189765463,1
20,17.6,female,unexp_first,social,snack,unexpected,0.7484787018255581,0.20827770360480585
21,20.5,male,exp_first,physical,containment,expected,0.8565656565656563,0.5680000000000008
21,20.5,male,exp_first,physical,containment,unexpected,0.8382978723404247,0.6319999999999976
21,20.5,male,exp_first,physical,continuity,expected,0.904,0.6056149732620305
21,20.5,male,exp_first,physical,continuity,unexpected,0.781333333333333,0.7746666666666674
21,20.5,male,exp_first,physical,solidity,expected,0.7620751341681579,0.40587449933244496
21,20.5,male,exp_first,physical,solidity,unexpected,0.8956692913385822,0.636000000000001
21,20.5,male,exp_first,physical,support,expected,1,0.694666666666666
21,20.5,male,exp_first,physical,support,unexpected,1,0.48800000000000043
21,20.5,male,exp_first,social,drink,expected,0.7930283224400874,0.8157543391188247
21,20.5,male,exp_first,social,drink,unexpected,1,0.8243967828418235
21,20.5,male,exp_first,social,fairness,expected,1,0.9911504424778762
21,20.5,male,exp_first,social,fairness,unexpected,0.8528678304239409,0.7669616519174056
21,20.5,male,exp_first,social,reach,expected,0.9467939972714869,0.3328877005347606
21,20.5,male,exp_first,social,reach,unexpected,0.7066666666666684,0.4283801874163322
21,20.5,male,exp_first,social,snack,expected,0.9786780383795308,0.8693333333333345
21,20.5,male,exp_first,social,snack,unexpected,0.8539553752535503,0.6181575433911866
22,18.4,male,exp_first,physical,containment,expected,0.6464646464646474,0.2919999999999986
22,18.4,male,exp_first,physical,containment,unexpected,0.7191489361702121,0.20933333333333332
22,18.4,male,exp_first,physical,continuity,expected,1,0.6818181818181821
22,18.4,male,exp_first,physical,continuity,unexpected,0.9440000000000005,0.6253333333333342
22,18.4,male,exp_first,physical,solidity,expected,0.9731663685152058,0.44726301735647406
22,18.4,male,exp_first,physical,solidity,unexpected,1,0.2719999999999982
