"","subj","vocab_tot","emcs_seek","emcs_per","emcs_soc","emcs_exp","age_surv"
"1",2,-0.237993060133069,3.33333333333333,3,3,3.5,2.689278063
"2",3,0.928287537918711,4.33333333333333,3,3.75,4.5,2.795857908
"3",4,1.25376119318898,4.33333333333333,4,2.75,4,2.617630898
"4",7,1.22663838858312,4,3,4,4,2.542072647
"5",8,0.657059491860158,3.33333333333333,3,3.75,3.5,2.773857813
"6",10,1.25376119318898,5,4,3.5,3,2.571936834
"7",11,0.982533147130422,4.66666666666667,3.5,2.75,3,2.653123383
"8",14,1.06390156094799,4,3.5,4.25,4,2.530074899
"9",15,1.25376119318898,5,4,4.75,4,2.390223998
"10",16,1.03677875634213,4,3.5,2.25,2.5,2.261378742
"11",17,0.874041928707,3.33333333333333,3,2.5,4,2.810383054
"12",18,1.06390156094799,4,3,4.25,3,2.746275748
"13",19,-0.183747450921358,3.33333333333333,3,3.5,4,2.740739092
"14",21,1.22663838858312,4.66666666666667,3.5,3.75,4.5,2.532983891
"15",22,0.114603399743051,4,3,3.5,3,2.362790176
"16",24,-0.210870255527213,3,2,3,2.5,2.139394216
"17",26,0.928287537918711,5,3.5,4.25,4.5,2.799121892
"18",27,0.331585836589894,4,3,3.5,4.5,2.872545282
"19",28,-1.07880000291458,4,3,4.5,3,2.187911339
"20",29,-0.0210106232862258,3.66666666666667,3.5,4.25,2.5,2.872688864
"21",30,-1.53988768121412,4,3,4.25,3,2.266774829
"22",31,-0.0752562324979365,5,3,4,4,2.171617485
"23",34,-1.10592280752044,3.33333333333333,3,2.75,4,2.826180873
"24",36,1.06390156094799,3.66666666666667,3,4.25,4,2.819700374
"25",37,-0.699080738432609,3.66666666666667,3,4,3.5,2.478100108
"26",39,-0.183747450921358,3.66666666666667,4.5,4,3,2.088669394
"27",41,0.602813882648447,4.33333333333333,3.5,5,4,2.66685997
"28",42,0.81979631949529,4,3,2.75,4,2.826069762
"29",43,-2.00097535951367,2.66666666666667,3,2.75,3,2.933067415
"30",44,0.982533147130422,4.66666666666667,3.5,4.25,5,2.70240801
"31",47,-0.536343910797477,3.33333333333333,2.5,2.75,2.5,2.171094654
"32",50,-1.83823853187853,4,3,4,3,1.930268645
"33",52,0.657059491860158,4,3,3.75,4,2.445200057
"34",53,1.25376119318898,4.33333333333333,3.5,4.5,4.5,2.724291191
"35",56,-1.32290524436728,3.66666666666667,3,4.25,4,2.05037982
"36",60,-1.6755017042434,4.66666666666667,4.5,3.25,4,1.730402429
"37",61,0.738427905677724,4.66666666666667,3.5,3,4,2.119194762
"38",62,0.168849008954762,4,3.5,3.5,5,1.968201611
"39",64,-0.671957933826754,4.33333333333333,3,4.25,3.5,2.009519755
"40",65,1.1181471701597,4.66666666666667,3,4,5,2.179879788
"41",67,0.928287537918711,4,3,3.5,4,2.365743721
"42",68,0.575691078042592,3.66666666666667,3,4,3,2.220660198
"43",69,0.629936687254302,4,4,3.5,4,2.342960331
"44",75,0.982533147130422,5,4,4,5,2.433918981
"45",76,0.277340227378183,4.33333333333333,3,4,4,2.259157946
"46",77,-0.129501841709647,4.33333333333333,3,2.25,4.5,2.192891774
"47",78,0.494322664225026,3,3.5,3.75,4,1.9662819
"48",81,-0.888940370673597,3,3,4,3.5,1.627092434
"49",82,-1.83823853187853,4,3.5,3.25,3,1.571153983
"50",84,1.00965595173628,4.66666666666667,4,4.25,3.5,2.52161628
"51",85,0.168849008954762,3.33333333333333,3,3.5,2,1.919330162
"52",87,-0.590589520009188,4,3.5,4.5,4.5,1.615017948
"53",88,-0.536343910797477,4.33333333333333,4,3.25,5,1.66422422
"54",91,-0.237993060133069,4,3,4.5,5,2.001592466
"55",93,-1.29578243976143,3.66666666666667,2.5,4,4.5,1.785326579
"56",94,0.0603577905313402,3.66666666666667,4,2.25,3,2.534246575
"57",96,-0.102379037103792,3.66666666666667,2,3.5,2,2.24109589
"58",97,-0.373607083162345,3.66666666666667,4,4,3.5,2.02739726
"59",98,0.629936687254302,4,4,2.75,2.5,2.087671233
"60",99,-1.81111572727268,4.33333333333333,3,4,4,1.695890411
"61",100,0.141726204348906,3.66666666666667,3.5,3.5,5,1.975342466
"62",101,1.06390156094799,4.66666666666667,4,2.5,4,2.18630137
"63",102,-0.970308784491163,3.33333333333333,3,3.5,4.5,1.956164384
"64",103,-1.24153683054972,3.66666666666667,3,2.5,4,1.652054795
"65",104,-1.78399292266682,3.33333333333333,3.5,3.5,2.5,1.75890411
"66",105,-1.53988768121412,4,3.5,3,4,1.6
"67",106,-0.888940370673597,4,2.5,3.5,4.5,2.043835616
"68",107,0.602813882648447,3.66666666666667,3,4.5,3,2.284931507
"69",108,1.03677875634213,3.66666666666667,3,3,4,2.268493151
"70",109,-0.671957933826754,2.66666666666667,3,4.5,5,2.030136986
"71",110,-1.9196069456961,3.33333333333333,3.5,3.75,3,1.589041096
